Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODI No
21*,55,31,0,0,67.74,3,not out,2,v Sri Lanka,Sydney,18 Mar 2015,ODI # 3640
82,155,107,7,1,76.63,3,caught,1,v New Zealand,Auckland,24 Mar 2015,ODI # 3644
63*,116,75,7,0,84.00,3,not out,2,v Bangladesh,Dhaka,10 Jul 2015,ODI # 3663
41,102,64,3,0,64.06,3,caught,1,v Bangladesh,Dhaka,12 Jul 2015,ODI # 3666
6,22,17,0,0,35.29,3,caught,1,v Bangladesh,Chattogram,15 Jul 2015,ODI # 3668
62,93,77,5,1,80.51,3,lbw,1,v India,Kanpur,11 Oct 2015,ODI # 3689
51,70,56,6,0,91.07,3,caught,2,v India,Indore,14 Oct 2015,ODI # 3692
60,89,63,6,0,95.23,4,caught,1,v India,Rajkot,18 Oct 2015,ODI # 3695
17,45,34,1,0,50.00,3,caught,2,v India,Chennai,22 Oct 2015,ODI # 3698
133*,184,115,9,6,115.65,3,retired notout,1,v India,Mumbai,25 Oct 2015,ODI # 3700
55,60,44,7,1,125.00,3,caught,2,v England,Bloemfontein,3 Feb 2016,ODI # 3732
46,76,48,4,1,95.83,3,caught,1,v England,Port Elizabeth,6 Feb 2016,ODI # 3734
33*,37,29,4,1,113.79,4,not out,2,v England,Centurion,9 Feb 2016,ODI # 3736
34,-,38,4,0,89.47,3,bowled,2,v England,Johannesburg,12 Feb 2016,ODI # 3737
0,2,1,0,0,0.00,3,bowled,2,v England,Cape Town,14 Feb 2016,ODI # 3738
63,95,76,5,0,82.89,3,caught,2,v Australia,Basseterre,11 Jun 2016,ODI # 3743
73*,78,50,6,2,146.00,4,not out,1,v West Indies,Basseterre,15 Jun 2016,ODI # 3747
DNB,-,-,-,-,-,-,-,1,v Australia,Bridgetown,19 Jun 2016,ODI # 3750
3,-,8,0,0,37.50,3,lbw,2,v West Indies,Bridgetown,24 Jun 2016,ODI # 3754
21,43,31,1,0,67.74,3,caught,1,v Ireland,Benoni,25 Sep 2016,ODI # 3780
26,54,36,1,0,72.22,3,bowled,2,v Australia,Centurion,30 Sep 2016,ODI # 3785
111,146,93,13,0,119.35,3,caught,1,v Australia,Johannesburg,2 Oct 2016,ODI # 3787
33,37,32,4,0,103.12,3,caught,2,v Australia,Durban,5 Oct 2016,ODI # 3790
69,126,87,8,0,79.31,3,caught,2,v Australia,Port Elizabeth,9 Oct 2016,ODI # 3792
11,22,17,2,0,64.70,3,bowled,1,v Australia,Cape Town,12 Oct 2016,ODI # 3795
55*,85,68,5,0,80.88,3,not out,2,v Sri Lanka,Port Elizabeth,28 Jan 2017,ODI # 3828
105,164,120,7,1,87.50,3,caught,1,v Sri Lanka,Durban,1 Feb 2017,ODI # 3830
24,41,27,3,1,88.88,3,caught,2,v Sri Lanka,Johannesburg,4 Feb 2017,ODI # 3831
185,212,141,16,3,131.20,3,caught,1,v Sri Lanka,Cape Town,7 Feb 2017,ODI # 3833
41,46,34,1,2,120.58,3,caught,1,v Sri Lanka,Centurion,10 Feb 2017,ODI # 3834
14,26,18,1,0,77.77,3,lbw,2,v New Zealand,Hamilton,19 Feb 2017,ODI # 3836
11,26,17,2,0,64.70,3,bowled,2,v New Zealand,Christchurch,22 Feb 2017,ODI # 3839
36,59,46,4,0,78.26,3,caught,1,v New Zealand,Wellington,25 Feb 2017,ODI # 3841
67,133,97,4,0,69.07,3,caught,1,v New Zealand,Hamilton,1 Mar 2017,ODI # 3843
51*,136,90,6,0,56.66,3,not out,2,v New Zealand,Auckland,4 Mar 2017,ODI # 3846
67,76,61,8,0,109.83,3,caught,2,v England,Leeds,24 May 2017,ODI # 3872
16,26,20,2,0,80.00,3,caught,2,v England,Southampton,27 May 2017,ODI # 3873
5,11,7,1,0,71.42,4,caught,2,v England,Lord's,29 May 2017,ODI # 3874
75,96,70,6,0,107.14,3,caught,1,v Sri Lanka,The Oval,3 Jun 2017,ODI # 3877
26,57,44,1,0,59.09,3,bowled,1,v Pakistan,Birmingham,7 Jun 2017,ODI # 3881
36,63,50,1,0,72.00,3,bowled,1,v India,The Oval,11 Jun 2017,ODI # 3886
DNB,-,-,-,-,-,-,-,2,v Bangladesh,Kimberley,15 Oct 2017,ODI # 3923
0,2,3,0,0,0.00,3,bowled,1,v Bangladesh,Paarl,18 Oct 2017,ODI # 3925
91*,-,67,10,1,135.82,3,retired notout,1,v Bangladesh,East London,22 Oct 2017,ODI # 3929
120,183,112,11,2,107.14,3,caught,1,v India,Durban,1 Feb 2018,ODI # 3969
47,-,56,10,0,83.92,4,caught,2,v Sri Lanka,Dambulla,29 Jul 2018,ODI # 4025
49,-,41,3,2,119.51,4,caught,2,v Sri Lanka,Dambulla,1 Aug 2018,ODI # 4027
10,-,14,0,0,71.42,4,caught,1,v Sri Lanka,Pallekele,5 Aug 2018,ODI # 4029
26,29,25,2,0,104.00,3,caught,2,v Zimbabwe,Paarl,6 Oct 2018,ODI # 4051
10*,-,24,0,0,41.66,4,not out,2,v Australia,Perth,4 Nov 2018,ODI # 4065
